* Soong company works info *
Employee Position Address Pay Duty
Momo Officer Seoul 230 engineer
Nari Officer Seoul 232 engineer
Nero Assistant Suwon 320 engineer
Pony Supervisor Suwon 423 admin
Moni Supervisor Yongin 445 marketing
Pori Assistant Yongin 365 admin
Ruru Officer Busan 267 marketing
Tori Assistant Suwon 389 admin
Ramo Officer Daejeon 210 admin
Doti Assistant Seoul 346 marketing
Yona Supervisor Daejeon 420 engineer
Nimo Officer Busan 278 marketing
Sandro Officer Seoul 237 engineer
Merry Assistant Daejeon 341 admin
Jacob Supervisor Seoul 465 engineer
Bella Officer Seoul 200 admin
Lilly Supervisor Daejeon 430 engineer
Ruby Officer Seoul 220 admin
Daisy Supervisor Suwon 490 engineer
Jade Supervisor Daejeon 441 marketing
Evelyn Officer Daejeon 240 admin
Chloe Officer Busan 235 marketing
Arden Assistant Seoul 370 engineer
Hazel Officer Yongin 263 admin
Daphne Assistant Seoul 368 engineer
Rowan Officer Yongin 258 admin
Olivia Assistant Suwon 340 engineer
Alex Supervisor Seoul 478 marketing
